Driver,Team,GridPosition,Position,Points,Status,Laps,Race,Year
GAS,Alpine,20.0,15.0,0.0,Lapped,69.0,Canada,2025
HAD,Racing Bulls,12.0,16.0,0.0,Lapped,69.0,Canada,2025
STR,Aston Martin,17.0,17.0,0.0,Lapped,69.0,Canada,2025
NOR,McLaren,7.0,18.0,0.0,Retired,66.0,Canada,2025
LAW,Racing Bulls,19.0,19.0,0.0,Retired,53.0,Canada,2025
ALB,Williams,9.0,20.0,0.0,Retired,46.0,Canada,2025
NOR,McLaren,1.0,1.0,25.0,Finished,70.0,Austria,2025
PIA,McLaren,3.0,2.0,18.0,Finished,70.0,Austria,2025
LEC,Ferrari,2.0,3.0,15.0,Finished,70.0,Austria,2025
HAM,Ferrari,4.0,4.0,12.0,Finished,70.0,Austria,2025
RUS,Mercedes,5.0,5.0,10.0,Finished,70.0,Austria,2025
LAW,Racing Bulls,6.0,6.0,8.0,Finished,70.0,Austria,2025
ALO,Aston Martin,11.0,7.0,6.0,Lapped,69.0,Austria,2025
BOR,Kick Sauber,8.0,8.0,4.0,Lapped,69.0,Austria,2025
HUL,Kick Sauber,20.0,9.0,2.0,Lapped,69.0,Austria,2025
OCO,Haas F1 Team,17.0,10.0,1.0,Lapped,69.0,Austria,2025
BEA,Haas F1 Team,15.0,11.0,0.0,Lapped,69.0,Austria,2025
HAD,Racing Bulls,13.0,12.0,0.0,Lapped,69.0,Austria,2025
GAS,Alpine,10.0,13.0,0.0,Lapped,69.0,Austria,2025
STR,Aston Martin,16.0,14.0,0.0,Lapped,69.0,Austria,2025
COL,Alpine,14.0,15.0,0.0,Lapped,69.0,Austria,2025
TSU,Red Bull Racing,18.0,16.0,0.0,Lapped,68.0,Austria,2025
ALB,Williams,12.0,17.0,0.0,Retired,15.0,Austria,2025
VER,Red Bull Racing,7.0,18.0,0.0,Retired,0.0,Austria,2025
ANT,Mercedes,9.0,19.0,0.0,Retired,0.0,Austria,2025
SAI,Williams,19.0,20.0,0.0,Did not start,0.0,Austria,2025
NOR,McLaren,3.0,1.0,25.0,Finished,52.0,Britain,2025
PIA,McLaren,2.0,2.0,18.0,Finished,52.0,Britain,2025
HUL,Kick Sauber,19.0,3.0,15.0,Finished,52.0,Britain,2025
HAM,Ferrari,5.0,4.0,12.0,Finished,52.0,Britain,2025
VER,Red Bull Racing,1.0,5.0,10.0,Finished,52.0,Britain,2025
GAS,Alpine,8.0,6.0,8.0,Finished,52.0,Britain,2025
STR,Aston Martin,17.0,7.0,6.0,Finished,52.0,Britain,2025
ALB,Williams,13.0,8.0,4.0,Finished,52.0,Britain,2025
ALO,Aston Martin,7.0,9.0,2.0,Finished,52.0,Britain,2025
RUS,Mercedes,4.0,10.0,1.0,Finished,52.0,Britain,2025
BEA,Haas F1 Team,18.0,11.0,0.0,Finished,52.0,Britain,2025
SAI,Williams,9.0,12.0,0.0,Finished,52.0,Britain,2025
OCO,Haas F1 Team,14.0,13.0,0.0,Finished,52.0,Britain,2025
LEC,Ferrari,6.0,14.0,0.0,Finished,52.0,Britain,2025
TSU,Red Bull Racing,11.0,15.0,0.0,Lapped,51.0,Britain,2025
ANT,Mercedes,10.0,16.0,0.0,Retired,23.0,Britain,2025
HAD,Racing Bulls,12.0,17.0,0.0,Retired,17.0,Britain,2025
BOR,Kick Sauber,16.0,18.0,0.0,Retired,3.0,Britain,2025
LAW,Racing Bulls,15.0,19.0,0.0,Retired,0.0,Britain,2025
COL,Alpine,20.0,20.0,0.0,Did not start,0.0,Britain,2025
